2019-10-31 18:27:49,974 [Thread-1:6980] [blog.views:23] [views:index] [ERROR]- int() argument must be a string, a bytes-like object or a number, not 'User'
2019-10-31 18:27:50,829 [Thread-1:6980] [blog.views:23] [views:index] [ERROR]- int() argument must be a string, a bytes-like object or a number, not 'User'
2019-10-31 18:32:55,437 [Thread-1:5088] [blog.views:29] [views:index] [ERROR]- int() argument must be a string, a bytes-like object or a number, not 'User'
2019-10-31 18:34:07,635 [Thread-1:6488] [blog.views:29] [views:index] [ERROR]- int() argument must be a string, a bytes-like object or a number, not 'User'
2019-10-31 18:34:08,426 [Thread-1:6488] [blog.views:29] [views:index] [ERROR]- int() argument must be a string, a bytes-like object or a number, not 'User'
2019-10-31 18:34:08,606 [Thread-1:6488] [blog.views:29] [views:index] [ERROR]- int() argument must be a string, a bytes-like object or a number, not 'User'
2019-10-31 18:34:08,852 [Thread-1:6488] [blog.views:29] [views:index] [ERROR]- int() argument must be a string, a bytes-like object or a number, not 'User'
2019-10-31 18:34:28,141 [Thread-1:6488] [blog.views:29] [views:index] [ERROR]- int() argument must be a string, a bytes-like object or a number, not 'User'
2019-10-31 18:34:28,647 [Thread-1:6488] [blog.views:29] [views:index] [ERROR]- int() argument must be a string, a bytes-like object or a number, not 'User'
2019-10-31 18:34:28,823 [Thread-1:6488] [blog.views:29] [views:index] [ERROR]- int() argument must be a string, a bytes-like object or a number, not 'User'
2019-10-31 18:34:28,956 [Thread-1:6488] [blog.views:29] [views:index] [ERROR]- int() argument must be a string, a bytes-like object or a number, not 'User'
2019-10-31 18:34:37,753 [Thread-1:6488] [blog.views:29] [views:index] [ERROR]- int() argument must be a string, a bytes-like object or a number, not 'User'
2019-10-31 18:34:38,351 [Thread-1:6488] [blog.views:29] [views:index] [ERROR]- int() argument must be a string, a bytes-like object or a number, not 'User'
2019-10-31 18:34:38,511 [Thread-1:6488] [blog.views:29] [views:index] [ERROR]- int() argument must be a string, a bytes-like object or a number, not 'User'
2019-10-31 18:36:36,522 [Thread-1:1324] [blog.views:29] [views:index] [ERROR]- invalid literal for int() with base 10: 'liuscraft'
2019-10-31 18:36:36,992 [Thread-1:1324] [blog.views:29] [views:index] [ERROR]- invalid literal for int() with base 10: 'liuscraft'
2019-10-31 18:36:37,153 [Thread-1:1324] [blog.views:29] [views:index] [ERROR]- invalid literal for int() with base 10: 'liuscraft'
2019-11-01 16:30:49,459 [Thread-1:6816] [blog.views:61] [views:getArticle] [ERROR]- too many values to unpack (expected 2)
2019-11-01 16:32:01,074 [Thread-1:5112] [blog.views:61] [views:getArticle] [ERROR]- invalid literal for int() with base 10: 'опад'
2019-11-01 16:32:01,728 [Thread-1:5112] [blog.views:61] [views:getArticle] [ERROR]- invalid literal for int() with base 10: 'опад'
2019-11-01 16:32:01,891 [Thread-1:5112] [blog.views:61] [views:getArticle] [ERROR]- invalid literal for int() with base 10: 'опад'
2019-11-01 16:32:02,048 [Thread-1:5112] [blog.views:61] [views:getArticle] [ERROR]- invalid literal for int() with base 10: 'опад'
2019-11-01 16:38:29,935 [Thread-1:5308] [blog.views:61] [views:getArticle] [ERROR]- Cannot resolve keyword 'catagory_title' into field. Choices are: catagory, catagory_id, content, desc, id, tags, tags_id, title, user, user_id
2019-11-01 16:38:30,531 [Thread-1:5308] [blog.views:61] [views:getArticle] [ERROR]- Cannot resolve keyword 'catagory_title' into field. Choices are: catagory, catagory_id, content, desc, id, tags, tags_id, title, user, user_id
2019-11-01 16:38:30,702 [Thread-1:5308] [blog.views:61] [views:getArticle] [ERROR]- Cannot resolve keyword 'catagory_title' into field. Choices are: catagory, catagory_id, content, desc, id, tags, tags_id, title, user, user_id
2019-11-01 16:38:30,863 [Thread-1:5308] [blog.views:61] [views:getArticle] [ERROR]- Cannot resolve keyword 'catagory_title' into field. Choices are: catagory, catagory_id, content, desc, id, tags, tags_id, title, user, user_id
2019-11-01 16:38:33,568 [Thread-1:5308] [blog.views:61] [views:getArticle] [ERROR]- Cannot resolve keyword 'catagory_title' into field. Choices are: catagory, catagory_id, content, desc, id, tags, tags_id, title, user, user_id
2019-11-01 16:38:53,807 [Thread-1:7184] [blog.views:61] [views:getArticle] [ERROR]- Cannot resolve keyword 'Catagory_name' into field. Choices are: catagory, catagory_id, content, desc, id, tags, tags_id, title, user, user_id
2019-11-01 16:38:54,379 [Thread-1:7184] [blog.views:61] [views:getArticle] [ERROR]- Cannot resolve keyword 'Catagory_name' into field. Choices are: catagory, catagory_id, content, desc, id, tags, tags_id, title, user, user_id
2019-11-01 16:38:54,565 [Thread-1:7184] [blog.views:61] [views:getArticle] [ERROR]- Cannot resolve keyword 'Catagory_name' into field. Choices are: catagory, catagory_id, content, desc, id, tags, tags_id, title, user, user_id
2019-11-01 16:38:54,710 [Thread-1:7184] [blog.views:61] [views:getArticle] [ERROR]- Cannot resolve keyword 'Catagory_name' into field. Choices are: catagory, catagory_id, content, desc, id, tags, tags_id, title, user, user_id
2019-11-01 16:38:54,858 [Thread-1:7184] [blog.views:61] [views:getArticle] [ERROR]- Cannot resolve keyword 'Catagory_name' into field. Choices are: catagory, catagory_id, content, desc, id, tags, tags_id, title, user, user_id
2019-11-01 16:38:55,018 [Thread-1:7184] [blog.views:61] [views:getArticle] [ERROR]- Cannot resolve keyword 'Catagory_name' into field. Choices are: catagory, catagory_id, content, desc, id, tags, tags_id, title, user, user_id
2019-11-01 16:39:01,006 [Thread-1:4596] [blog.views:61] [views:getArticle] [ERROR]- Cannot resolve keyword 'catagory_name' into field. Choices are: catagory, catagory_id, content, desc, id, tags, tags_id, title, user, user_id
2019-11-01 16:39:01,477 [Thread-1:4596] [blog.views:61] [views:getArticle] [ERROR]- Cannot resolve keyword 'catagory_name' into field. Choices are: catagory, catagory_id, content, desc, id, tags, tags_id, title, user, user_id
2019-11-01 16:39:01,664 [Thread-1:4596] [blog.views:61] [views:getArticle] [ERROR]- Cannot resolve keyword 'catagory_name' into field. Choices are: catagory, catagory_id, content, desc, id, tags, tags_id, title, user, user_id
2019-11-01 16:39:01,809 [Thread-1:4596] [blog.views:61] [views:getArticle] [ERROR]- Cannot resolve keyword 'catagory_name' into field. Choices are: catagory, catagory_id, content, desc, id, tags, tags_id, title, user, user_id
2019-11-01 16:39:10,108 [Thread-1:4596] [blog.views:61] [views:getArticle] [ERROR]- Cannot resolve keyword 'catagory_name' into field. Choices are: catagory, catagory_id, content, desc, id, tags, tags_id, title, user, user_id
